sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Morinda citrifolia	exo	0	0	9050	14.99	6.09	227.5803497	34.637399	13.88002684	25.98415473	27.77774418	23.85786853	2093.855505	404.0206422	47.64220183	76.02784578	1047.84633	169.2155963	569.7155963	386.9747706	8.444008821	65.15195441	159.6738549	32.57628832	18.84568827	13.73060006	26.58686589	24.68269737	138	411616.4444	14.62628474	10.36950198	0.443542128	1.172054426	0.936307801	1.779713126	-1222.953545	-194.9422129	-41.15200582	21.4148642	-524.336527	-143.2352046	-466.2057918	-222.0139858	1.944226468	5.400473447	-33.59841497	2.368809543	1.266076361	1.102733405	0.482742124	2.302596752
Moringa oleifera	exo	0	0	1411.852597	239.255	14.6304	244.1744127	114.804664	8.804018749	26.41915742	30.79238239	21.59221484	1328.525862	372.9224138	4.224137931	115.8245711	892.6206897	26.56896552	256.862069	198.8103448	10.8898617	49.19260111	369.7533041	37.59921233	14.39662759	23.20258476	27.51192223	24.23725013	224	116244.2179	6.988576842	17.83857883	0.560163243	0.2834353	-2.440715683	3.310748163	-523.348086	-184.2001937	2.498084254	-21.17937201	-418.4762479	0.564367927	-127.9842915	-97.7103448	-0.202824569	20.34395959	-230.355399	-2.743656545	4.982261298	-7.725917992	-0.519329607	2.024416485
Nerium oleander	exo	0	0	1981.39	3.491	3.262	227.3480847	29.52849	13.85936464	15.91278983	23.21319834	9.047306541	765.3655589	125.496811	21.37562941	53.09192259	328.18429	81.77005707	134.0906344	215.1930178	9.794411042	38.58524301	581.5551926	29.9501639	4.177868908	25.77229497	13.74214209	19.66507842	422	174580.7606	5.682629155	51.1495422	0.575611306	11.12396948	5.301986949	16.39306402	56.21220801	69.45874522	-15.59785162	43.38148439	167.0823756	-57.370057	-33.60174487	-64.61523872	0.633552025	33.55029675	-455.8523247	4.77650236	15.99101995	-11.21451706	13.2893392	7.35862496
Nicotiana glauca	inv	1	1	5515.04	0.032	3.862	230.9951606	59.8247585	7.818589851	17.60827741	22.76287203	11.97836921	713.6704545	115.7045455	17.53787879	66.51493074	311.8636364	60.40530303	285.7272727	64.125	13.22121767	52.5831267	440.9787347	30.0372152	4.577676772	25.45953837	21.91358584	12.35583052	198	340301.6765	8.517907693	170.6078689	0.574747319	8.183260332	4.871835858	11.4777591	-131.6704539	14.95181199	-11.64784443	20.29700308	7.64839118	-35.70427194	-154.3389562	11.67912315	-2.460822456	14.54548778	-269.1181283	4.195087196	13.59517548	-9.400088224	4.711099154	12.55665512
Nicotiana tabacum	nat	1	0	9050	0.043	1.709	229.3529681	59.825239	11.04965536	19.28616668	20.13789897	18.26727276	1405.212121	195	52.90909091	52.8674567	542.030303	180.4242424	393.9090909	194.030303	11.78635353	79.74155542	78.1275629	26.42896973	11.55963629	14.86933344	19.60652522	18.49814148	292	469.138624	9.063462863	7.287312341	0.277715518	5.113138661	5.958767561	3.958838269	-615.6121334	-34.00000076	-43.04242435	28.64466374	-131.4636374	-143.7575758	-223.8090924	-67.83030303	-1.334409274	-12.32834207	79.61408749	6.021030079	5.353697218	0.667333334	5.594585621	5.200192264
Nopalea cochenillifera	nat	1	0	27884.43	5.449666116	1.142580506	243.2882305	11.822018	17.78491021	24.11748045	26.21870591	21.55023541	1280.588235	259.5882353	15.88235294	89.42104766	690.7058824	55.11764706	419.1764706	69.94117647	13.27849035	67.05545538	191.4500694	33.75882407	13.92611762	19.83270645	25.33756862	22.56733345	177	242195.7427	7.360524312	4.324949638	0.357448186	2.082519172	1.76351646	2.485319856	-352.5882353	-88.78823224	3.384313185	-23.0302243	-245.5058854	15.01568653	-290.3098027	289.1921548	-3.00849008	1.146137641	-25.58142624	0.394509215	5.160548491	-4.766039658	0.191320083	4.349333348
Ocimum americanum	nat	1	0	683.3857192	0.881	0.509286373	226.1059665	26.486808	8.503931413	22.17560024	25.36894157	18.25347483	900.9382022	196.2022472	12.62359551	87.42508929	481.494382	48.25842697	279.5168539	98.88202247	12.44599768	60.50209463	291.5651612	31.84923626	10.46267355	21.38656266	24.27896554	18.99707088	232	289718.0426	7.217579646	11.62722329	0.604623229	3.915927313	2.371891708	5.824025227	-144.804874	-48.70224605	-1.190262288	-13.12807419	-99.79437973	-2.925093975	-120.0335208	20.15131169	-1.87044221	8.370779818	-138.9302521	2.280763374	8.258992884	-5.978229452	2.555478885	6.469318013
Ocimum gratissimum	nat	1	0	5678.73911	0.972	0.803867371	226.555812	26.486953	9.209738286	22.50300203	24.68804695	19.90929785	1256.862816	255.3862816	15.64620939	82.09551715	628.7761733	66.92057762	357.1407942	196.2635379	10.90211454	65.72805128	195.9572343	30.74580728	13.52894547	17.21686177	23.50524033	20.86424091	243	294981.8614	9.551893322	18.15841208	0.474466963	3.914505297	3.383736771	4.524474187	-420.6610594	-80.56172052	-4.181297216	-0.549767986	-179.0568744	-23.98198129	-217.3425493	-22.49160706	-0.725871929	3.004272619	-45.35349124	3.405069623	5.739475556	-2.334405772	2.93642642	5.403449141
Oeceoclades maculata	nat	1	0	6804.974365	0.039834615	0.283	259.0491953	42.358034	8.950685116	23.75334988	25.12373352	21.84440002	1397	307.9	3.9	92.10415192	745.9	21.5	339.5	89.8	10.79150004	66.47795334	135.9256435	31.49239998	15.17919993	16.31320019	24.1185997	22.4925333	236	138563.1744	7.121818003	7.330718785	0.147861249	1.172421667	1.467007107	0.996217261	-489.414818	-131.2703707	10.20370366	-19.75299895	-286.3148126	32.36666667	-168.3370372	116.992594	-0.809833405	1.615391456	19.48095996	1.114266671	2.686726024	-1.572459475	1.116832479	2.355367851
Oldenlandia corymbosa	nat	1	0	75	0.39	0.077	228.4070966	24.687774	8.526589585	24.73258801	27.00743254	22.26865347	1257.68	266.6553846	11.91384615	88.38682691	665.5938462	52.93538462	296.36	244.1661538	10.93286101	64.45724494	194.0879095	33.43475695	15.69696862	17.73778834	24.98892338	23.44033346	219	230859.817	10.62319566	4.228007009	0.550314066	1.667085569	0.729168668	2.548340134	-314.0133345	-63.94950316	-0.404042242	-3.654317292	-146.9860024	-5.758913634	-137.5560786	-78.71517349	-0.677305433	7.843496589	-73.62501703	0.375046731	3.783423553	-3.408376495	1.677743211	2.833849479
